Temp,DO,PH,BOD,Tot_col,WQI
23.9,6.2,8.1,1.0,6.0,49.807462485501595
25.5,7.2,7.5,2.3,74.0,53.88882479814383
25.1,7.2,7.5,2.3,67.0,54.31708680604578
25.2,7.5,7.3,1.8,70.0,40.35463058504779
23.2,7.5,7.5,2.4,506.0,55.51678849951678
20.1,5.3,3.3,7.7,36.0,203.81833704436625
18.3,7.2,7.2,1.7,42.0,46.37180229778515
19.3,7.5,7.2,1.6,44.0,41.71629655461876
24.0,7.8,7.0,2.3,108.0,43.908915974130956
20.5,6.7,2.7,3.3,16.0,125.10918882967673
21.2,7.3,6.6,2.5,386.0,59.56858205717415
26.3,7.4,7.3,1.8,55.0,39.98552633641432
25.5,7.2,7.4,2.0,61.0,47.57443146481051
20.0,7.3,7.1,1.9,53.0,46.55450175890219
20.3,7.3,7.1,2.0,50.0,48.009076848154486
19.4,6.6,7.1,2.6,3108.0,66.06220455343049
21.0,7.3,5.6,1.8,34.0,59.62456043965327
19.2,5.1,7.0,3.6,780.0,91.63417020126172
18.3,7.3,7.1,1.6,40.0,42.75777876586629
19.6,7.7,7.2,1.6,36.0,39.94871002798169
23.7,7.6,7.3,2.1,528.0,46.56870123560064
18.2,6.2,7.0,2.4,79.0,63.040072473431735
18.8,7.2,7.1,1.9,63.0,48.22833247347817
18.9,7.4,7.1,1.5,40.0,39.875782425700415
25.1,7.5,7.4,1.7,59.0,39.96904985535507
18.8,7.1,7.1,1.9,48.0,48.945110997410985
20.2,7.3,7.2,1.9,48.0,47.589703795339
20.0,7.3,7.3,2.0,54.0,50.65945509223552
18.5,1.5,6.9,33.9,34251.0,655.0007037177432
18.8,3.9,7.1,17.0,22223.0,342.87979042992754
18.3,1.0,7.2,57.2,83554.0,1086.5808212767542
18.5,0.9,7.2,61.1,106333.0,1168.0437104503087
18.2,7.2,7.0,1.9,60.0,47.454202867958195
22.1,7.7,7.2,1.6,59.0,37.46350952933484
17.6,7.3,6.9,2.2,52.0,53.48372917245129
18.7,1.2,7.1,45.7,94083.0,895.2902895516511
18.7,3.2,7.1,23.5,54083.0,478.2645897876243
23.1,7.2,7.2,6.9,552.0,131.28260731167816
22.6,7.2,7.1,2.1,120.0,48.59200282560646
20.0,7.5,7.3,1.9,42.0,47.416317274169046
19.9,7.6,7.3,1.9,43.0,46.74130547931401
24.5,7.1,7.3,1.4,115.0,38.204234876246815
24.4,7.2,7.3,1.5,68.0,39.0298435102151
23.6,6.9,7.1,1.6,29.0,41.81991308319029
23.5,6.8,7.1,1.4,86.0,39.43860664449539
27.3,6.2,7.8,2.1,340.0,63.06892034499879
29.1,6.4,7.8,4.1,500.0,93.45163537755045
26.6,6.6,7.9,4.2,572.0,96.40105831545657
27.0,6.7,0.0,1.8965,468.0,128.9913621650643
27.1,7.3,7.9,0.5,173.0,25.177313048907138
27.3,5.0,7.6,1.8,174.0,68.57587999999998
27.0,6.7,0.0,1.8965,227.0,128.8419421650643
24.5,6.0,7.7,8.6,1183.0,176.62831787757787
27.0,6.7,7.3,1.8965,24.0,48.22674883173095
