Temp,DO,PH,BOD,Tot_col,BOD_log,Tot_col_log
28.3,4.3,7.8,103.8,1817.0,4.6520537718869415,7.505492274737424
28.4,4.5,8.3,1.5,5.0,0.9162907318741551,1.791759469228055
27.0,6.7,7.3,1.8965,2.0,1.0635031115545417,1.0986122886681098
27.6,6.8,8.2,2.5,64.0,1.252762968495368,4.174387269895637
27.0,5.0,8.0,0.7,468.0,0.5306282510621704,6.150602768446279
27.0,3.0,7.7,0.4,468.0,0.33647223662121295,6.150602768446279
27.0,6.7,8.1,7.2,41.0,2.1041341542702074,3.7376696182833684
29.0,8.2,8.4,2.9,468.0,1.3609765531356006,6.150602768446279
27.0,6.7,7.3,1.8965,468.0,1.0635031115545417,6.150602768446279
30.0,5.6,7.5,2.0,13410.0,1.0986122886681098,9.50383054471094
30.4,5.5,6.7,0.8,2915.0,0.5877866649021191,7.977968093128549
30.8,5.5,7.1,1.5,6264.0,0.9162907318741551,8.742733867330168
30.3,5.3,7.3,1.5,3080.0,0.9162907318741551,8.033009498596668
30.1,6.0,7.6,1.2,6086.0,0.7884573603642702,8.713910628493924
29.9,5.7,6.9,1.0,3061.0,0.6931471805599453,8.026823576217629
29.1,6.4,7.1,1.1,7908.0,0.7419373447293773,8.975756630519417
29.9,6.2,7.8,2.0,9320.0,1.0986122886681098,9.140025198061156
29.8,6.1,7.6,1.8,9554.0,1.0296194171811581,9.164819856674374
27.9,7.0,6.9,1.1,2841.0,0.7419373447293773,7.952263308657046
28.2,6.6,6.5,1.0,7190.0,0.6931471805599453,8.880585523102495
29.6,7.0,6.8,2.0,23867.0,1.0986122886681098,10.080293928641973
28.8,7.0,7.0,1.2,2813.0,0.7884573603642702,7.942362237674335
29.5,6.3,7.6,1.5,7069.0,0.9162907318741551,8.863615758890619
29.8,6.7,6.8,1.2,3559.0,0.7884573603642702,8.177515823846075
29.7,7.1,6.6,1.0,3527.0,0.6931471805599453,8.168486417126681
28.7,6.7,6.6,1.3,3757.0,0.832909122935104,8.231642179973411
27.9,7.2,6.7,0.9,1996.0,0.6418538861723948,7.599401333415815
29.3,4.2,6.7,2.0,9286.0,1.0986122886681098,9.13637085177601
28.6,6.3,6.6,1.6,6054.0,0.9555114450274363,8.708639655987193
29.8,5.6,7.7,1.7,3644.0,0.9932517730102833,8.201111644442758
28.6,2.8,6.4,3.2,21036.0,1.4350845252893227,9.954038071134029
30.6,5.2,7.1,2.6,1525.0,1.2809338454620642,7.330405211844402
30.3,5.6,7.7,1.5,7130.0,0.9162907318741551,8.872206756028303
30.4,5.5,7.7,1.5,12282.0,0.9162907318741551,9.415971471539095
29.6,6.9,6.7,0.9,1132.0,0.6418538861723948,7.0326242610280065
29.6,6.3,7.6,1.7,3612.0,0.9932517730102833,8.19229373114764
29.5,7.1,6.6,1.1,8167.0,0.7419373447293773,9.007979359844501
26.7,6.9,7.7,3.3,163.0,1.4586150226995167,5.099866427824199
29.3,7.2,8.2,3.3,94.0,1.4586150226995167,4.553876891600541
28.0,6.9,7.7,3.7,103.0,1.547562508716013,4.6443908991413725
28.2,6.9,7.6,3.5,79.0,1.5040773967762742,4.382026634673881
26.5,6.4,7.4,4.3,753.0,1.667706820558076,6.625392368007956
20.7,6.3,8.3,2.7,157.0,1.308332819650179,5.062595033026967
27.2,6.7,7.8,3.6,89.0,1.5260563034950492,4.499809670330265
27.5,6.3,7.6,4.4,98.0,1.6863989535702288,4.59511985013459
26.0,5.9,7.6,5.0,300.0,1.791759469228055,5.707110264748875
26.5,7.3,7.7,3.2,93.0,1.4350845252893227,4.543294782270004
27.0,3.6,7.4,30.5,745.0,3.449987545831587,6.61472560020376
27.3,6.3,8.3,3.3,112.0,1.4586150226995167,4.727387818712341
28.7,7.2,7.7,3.3,89.0,1.4586150226995167,4.499809670330265
28.4,7.1,7.5,3.4,63.0,1.4816045409242156,4.1588830833596715
